Question,Answer,Class
What are the fund choices,"The plan offers 4 funds of varying risk & return profiles. Income Fund, Balanced Fund, BlueChip Fund and Opportunities Fund",insurance
What are the Plan option available,There are 8 Plan options available under the Plan ProGrowth Super II. Please refer to the product brochure for details.,insurance
What is the Settlement Option,"In Settlement Option the Fund value is paid in periodical installments over a period which may extend up to 5 years. The value of installment payable on the date specified shall be subject to investment risk i.e. the NAV may go up or down depending upon the performance of the funds chosen by you. Your money will remain invested in the funds chosen by you and is subject to the same investment risks as during the policy term. During the Settlement period, the risk cover will cease, Fund Management Charge will continue to be deducted and no other charges shall be levied. Partial withdrawals and switches shall not be allowed during this period. Complete withdrawal may be allowed at any time during this period without levying any charge. At the end of this 5-year period, the balance units will be redeemed at the then prevailing unit price and the fund value will be paid to you.",insurance
What is the min-max age at entry/maturity,Click here to view the min-max age at entry/maturity,insurance
What is the Maturity Benefit under the plan,"On maturity, the policy holder will receive the sum assured plus accrued bonuses on full payment of premiums due throughout the premium paying term.",insurance
What is the premium frequency available under the policy,"The premiums can be paid annually, half-yearly, quarterly and annually",insurance
Can the plan be offered under limited underwriting,"The plan can be applied for by filling in the Short Medical Questionnaire (SMQ), which may not require you to go for medicals.",insurance
Do I have an option to avail of loans under the policy,"The policyholder can avail a loan under the policy, provided the policy has acquired a surrender value and subject to terms and conditions as the company may specify from time to time.",insurance
When does the plan acquire Guaranteed Surrender value,The plan will acquire a Guaranteed Surrender Value provided 2 full years' premium has been paid for a premium paying term of 7 years 3 full years' premium has been paid for a premium paying term of 10 years,insurance
What is the limited pay term available under the plan,"With HDFC Life ClassicAssure Plus, pay premiums for 7 years for policy terms of 10 and 15 years or pay premiums for 10 years for policy term of 15 and 20 years.",insurance
What is the Death-Benefit under the plan,"On death of the life assured, provided all due premiums are paid, the company would pay the higher of the following Sum Assured 10 times annualised premium 105% of the premiums* paid (Premiums are excluding any taxes paid on the premium or any extra premiums) plus accrued bonuses, if any, to the nominee.",insurance
What is the exclusion in the plan,"In case of death due to suicide, within 12 months from the date of inception of the policy, the nominee of the policyholder shall be entitled to 80% of the premiums paid provided the policy is in-force or from the date of revival of the policy, the nominee of the policyholder shall be entitled to the amount which is higher of 80% of the premiums paid till date of death or the surrender value as available on death of death.",insurance
What is a retirement plan,Retirement Plans refers to insurance plans which aim to offer you income/ pension after retirement when you may not have any other adequate source of income.,insurance
Will automatic conversion of vesting benefit to annuity happen,Policyholder needs to purchase an annuity plan – by filling the annuity proposal form. Submit all relevant documents and annuity payout will occur as per the timeline.,insurance
What are the additional servicing charges,"Rs. 250 per request on. Premium collection related services such as cheque pick-up/premium payment via outstation cheques/drop-box deposit. Cheque bounce/cancellation of cheque. Request for duplicate documents such as duplicate premium receipt, duplicate policy document. Cancellation/failure of ECS/SI due to an error at client’s end or fresh request of ECS / SI mandate initiated by client. Premiums paid via credit card, the company may charge up to 2% of installment premium depending on the credit card used",insurance
What type of bonuses is this plan eligible for,"Bonuses are as a percentage of the sum assured on vesting. Reversionary bonus, if declared, will be added every year annually. Interim and terminal bonuses, if declared.",insurance
What are the conditions on revival,You will need to pay all the outstanding premiums and interest on the outstanding premiums and applicable taxes. Charge of Rs 250 shall be levied for processing the revival. The revival period shall be of two years from date of lapsation/paid up as specified by the current regulations.,insurance
Why can't I have liquidity of complete amount on surrender,The plan aims to help in creating fund for retirement. Annuitisation of surrender benefit is mandated by the Regulator in the interest of the customer. Annuitisation ensures that the aim of the policy is not compromised for other financial needs.,insurance
Can the vesting age be post-poned or pre-poned,"No, policy term can’t be changed thus vesting age can’t be pre or postponed",insurance
Are all additions guaranteed,"Yes, they are guaranteed to be paid for every completed policy term",insurance
Is sum assured a death benefit,Sum is assured for the vesting benefit. Death benefit is all the premiums paid till date @ 6.p.a. compounded.,insurance
What are the conditions on revival,All the outstanding premiums and interest on the outstanding premiums and applicable taxes. Charge of Rs 250 shall be levied for processing the revival. The revival period shall be of two years as specified by the current regulations.,insurance
Will sum assured be used to calculate any benefits,"Yes, guaranteed additions and vesting addition is a percentage of this sum assured on vesting",insurance
Should I choose a Unit Linked or a non – Unit Linked plan,"If your financial profile does not allow you to take risks through exposure to equity, bonus-based endowment plans are the most suitable for you. If that is not the case, unit-linked plans are the ideal vehicle for you to plan for your family’s future financial needs. Unit-linked plans are associated with transparent charging structure and certain flexibility, besides possessing the potential to deliver a higher amount on maturity.",insurance
What do you mean by ‘switching funds’,"Switching between funds implies that the policy holder can transfer his investments from one fund to another fund under the plan. This is usually done to change one’s investment pattern or strategy based on changes in the financial markets. For instance, one may want to switch from an equity based fund to a debt fund when the equity markets are on a downslide.",insurance
What are the different types of Savings Plans,"You may choose between a traditional endowment plan and unit-linked insurance plan depending on a number of factors including your risk profile, your understanding of different financial instruments and your ability to track your investments regularly. Therefore , those who are well aware of the financial markets, are willing to bear the investment risk and desire a higher return can look at unit linked products and vice versa.",insurance
How can a policyholder track the performance of a policy fund,You can also track the daily NAV of your funds on our website or check them in leading newspapers.,insurance
Can I take this plan without going for medicals,Yes this plan can be taken by filling short medical questionnaires subject to underwriting guidelines. For more details contact our Relationship Manager.,insurance
What is the premium frequency available under the Plan,The plan is a single premium Savings cum Investment Plan with a fixed policy term of 15 years.,insurance
What is the surrender benefit under the plan,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to If you surrender before the end of the 5 years from commencement of the policy, Your fund value (as on date of surrender) will be moved to the ‘Discontinued Policy Fund’ and will earn a minimum guaranteed return as specified by IRDA. The minimum guaranteed interest rate applicable to the ‘Discontinued Policy Fund’ shall be 4% p.a. Such rate may be changed in the future if the IRDA revises the minimum rate for discontinued policies. A Fund Management Charge of 0.50% p.a. will be levied on the ‘Discontinued Policy Fund’. The Discontinued Policy Fund (SFIN:ULIF05110/03/11DiscontdPF101) shall be a unit fund which will invest 100% of assets in Government Securities and/or Money Market Instruments. Your fund value as held in the ‘Discontinued Policy Fund’ will be payable to you at end of the 5th policy year. In case of the death of the Life Assured or Policyholder, before the payment of the surrender benefit, the amount in the Discontinued Policy Fund will be paid out immediately. If you surrender your policy after completion 5 years from commencement of the policy, your fund value will be paid to you. Once any surrender payment has been made, the policy terminates and no further benefits are payable.",insurance
Can I take any loan,Policy loan is not offered in this plan,insurance
What are the fund choices,"The plan offers 4 funds of varying risk & return profiles. Income Fund, Balanced Fund, BlueChip Fund and Opportunities Fund.",insurance
What is the Settlement Option,"In Settlement Option the Fund value is paid in periodical installments over a period which may extend up to 5 years. The value of installment payable on the date specified shall be subject to investment risk i.e. the NAV may go up or down depending upon the performance of the funds chosen by you. Your money will remain invested in the funds chosen by you and is subject to the same investment risks as during the policy term. During the Settlement period, the risk cover will cease, Fund Management Charge will continue to be deducted and no other charges shall be levied. Partial withdrawals and switches shall not be allowed during this period. Complete withdrawal may be allowed at any time during this period without levying any charge. At the end of this 5-year period, the balance units will be redeemed at the then prevailing unit price and the fund value will be paid to you.",insurance
Can I take any loan,Policy loan is not offered in this plan,insurance
What are the fund choices,"The plan offers 4 funds of varying risk & return profiles. Income Fund, Balanced Fund, BlueChip Fund and Opportunities Fund",insurance
What happens if premiums are not paid,"If you have not paid your premium by the expiry of the grace period, you will have following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicable Discontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period. Discontinuance on and after completion of the 5 years from commencement of the policy : Fund Value will be paid out to you. You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy",insurance
What is the surrender benefit,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to the DPF and the proceeds from DPF will be paid out on the completion of the lock-in period. If you surrender after completion of the 5th policy year your Fund Value will be paid out to you. Upon payment of this benefit the policy terminates and no further benefits are payable. Please refer to the policy document for further details on Surrender.",insurance
What is the Settlement Option,"In Settlement Option the Fund value is paid in periodical installments over a period which may extend up to 5 years. The value of installment payable on the date specified shall be subject to investment risk i.e. the NAV may go up or down depending upon the performance of the funds chosen by you. Your money will remain invested in the funds chosen by you and is subject to the same investment risks as during the policy term. During the Settlement period, the risk cover will cease, Fund Management Charge will continue to be deducted and no other charges shall be levied. Partial withdrawals and switches shall not be allowed during this period. Complete withdrawal may be allowed at any time during this period without levying any charge. At the end of this 5-year period, the balance units will be redeemed at the then prevailing unit price and the fund value will be paid to you.",insurance
What are the fund choices,"The plan offers 4 funds of varying risk & return profiles. Income Fund, Balanced Fund, BlueChip Fund and Opportunities Fund",insurance
Can I take any loan,Policy loan is not offered in this plan,insurance
What is the surrender benefit,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to the DPF and the proceeds from DPF will be paid out on the completion of the lock-in period. If you surrender after completion of the 5th policy year your Fund Value will be paid out to you. Upon payment of this benefit the policy terminates and no further benefits are payable. Please refer to the policy document for further details on Surrender.",insurance
What happens if premiums are not paid,"If you have not paid your premium by the expiry of the grace period, you will have following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicableDiscontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period.Discontinuance on and after completion of the 5 years from commencement of the policy : Fund Value will be paid out to you You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy",insurance
What is the Settlement Option,"In Settlement Option the Fund value is paid in periodical installments over a period which may extend up to 5 years. The value of installment payable on the date specified shall be subject to investment risk i.e. the NAV may go up or down depending upon the performance of the funds chosen by you. Your money will remain invested in the funds chosen by you and is subject to the same investment risks as during the policy term. During the Settlement period, the risk cover will cease, Fund Management Charge will continue to be deducted and no other charges shall be levied. Partial withdrawals and switches shall not be allowed during this period. Complete withdrawal may be allowed at any time during this period without levying any charge. At the end of this 5-year period, the balance units will be redeemed at the then prevailing unit price and the fund value will be paid to you.",insurance
What are the different types of Savings Plans,"You may choose between a traditional endowment plan and a unit-linked insurance plan depending on a number of factors including your risk profile, your understanding of different financial instruments and your ability to track your investments regularly. Therefore , those who are well aware of the financial markets, are willing to bear the investment risk and desire a higher return can look at unit linked products and vice versa.",insurance
What is meant by a ‘With Profits’ plan,"‘With Profits’ plans are plans where the premiums are invested in the ‘with profit’ This fund invests in a variety of assets to earn returns on your policy, which are shared with the policyholder’s in the form of bonuses which are declared annually. And once declared these bonuses are guaranteed.",insurance
Should I choose a Unit Linked or a non – Unit Linked plan,"If your financial profile does not allow you to take risks through exposure to equity, bonus-based endowment plans are the most suitable for you. If that is not the case, unit-linked plans are the ideal vehicle for you to plan for your family’s future financial needs. Unit-linked plans are associated with transparent charging structure and certain flexibility, besides possessing the potential to deliver a higher amount on maturity.",insurance
What are the benefits of a retirement plan,Retirement Plans provide you with a steady flow of income post retirement so that you can continue to live a financially independent life.,insurance
What is an Retirement Plan,Retirement Plans refer to insurance plans which aim to offer you income/ pension after retirement when you may not have any other adequate source of income.,insurance
What is HDFC Life New Immediate Annuity Plan,"The HDFC Immediate Annuity is a contract that uses your capital to provide you with a guaranteed gross income throughout your lifetime or over a period of your choice. This is the perfect way to plan for your expenses after your retirement. This means you can plan your life the way you want it to be, safe in the knowledge that your gross income will not fall during the period you have selected. This is the perfect way to plan for your expenses after your retirement. The HDFC Immediate Annuity plan offers a number of options to meet all your income needs.",insurance
Why do I need Health Insurance,"Medical emergencies come un-announced. Cost of healthcare can be enormous. In the absence of health insurance, this expense has to be borne out of pocket. This has an adverse impact on the financial situation of the family. World over long term illnesses are known to be the reason behind a family’s slide down the social ladder. Health Insurance cover provides the much needed financial assistance and will ensure that you access healthcare facilities when you need them the most without worrying about the medical expenses.",insurance
Is Health Insurance the same as Life Insurance,Life insurance covers the risk of untimely death. Health insurance covers the risk of incurring unplanned medical expenses due to unforeseen medical emergencies.,insurance
What is the policy term of the plan,The policy term is of whole life.,insurance
Will the policyholder get a premium discount in cases where there is no claim submitted in the previous year,"No, the Policyholder will not get any premium discount as the premiums are guaranteed or fixed for a period of three years from the date of inception or renewal of the policy. However, in the absence of claims in any year, the policyholder will be rewarded with the increase in Sum Insured through Multiplier Benefit.",insurance
Who all can be covered under the Family Floater Plan,"Policyholder can cover his lawful spouse, parents and parents-in-law subject to a maximum age of 70 years at entry and dependent children's age of 91 days and above.",insurance
Which are the factors one should consider while choosing a Health Insurance Plan,"We should check for the following factors while choosing a Health Insurance Policy: Guaranteed Renewability Types of exclusions and period of exclusion Any extra premium to be paid Day care procedure coverage Type and amount of No Claim bonus Availability of cash less service Longer duration of policy with Life Long renewability Shorter duration of pre-existing disease exclusion Sum insured high enough to provide adequate protection No change in premium every year, even if you claim Availability of no claim bonus Number of Day Care procedures covered Coverage for maternity and its complications Availability of Hospital Cash Benefit Cashless service at large network of hospitals View more",insurance
Can the policyholder get cashless services in case of hospitalization in a non-network hospital,"No, the policyholder will not get any cashless service in a non-network hospital.",insurance
What are Tax Benefits,"As per prevailing income tax laws, HDFC Life Health Assure Plan is eligible for Tax Benefits u/s 80D of Income Tax Act.",insurance
Why should I buy HDFC Life Health Assure Plan,"HDFC Life Health Assure Plan provides reimbursement for unforeseen medical expenses and it comes with following unique features: Premium guarantee for three years i.e. premium does not change even after a claim has been made. If there is no claim under the policy , then your cover will be doubled after 2 claim-free years under multiplier benefit Plan offers Guaranteed Lifetime Renewability subject to prevailing premium rates",insurance
What is the amount of tax that can be saved,"As per Section 80D, the premium paid for medical insurance is deductible from an individual’s income up to Rs. 15,000 per year. However, in case of a Senior Citizen (60 years and above) the applicable limit is Rs. 20,000 per year.If the medical insurance premium has been paid for one’s parents, an additional deduction of Rs. 15,000 can be claimed under section 80D every year. If one’s parents are Senior Citizens, an additional amount of Rs. 20,000 can be claimed. Thus, a policy holder can deduct up to Rs. 35,000 from his taxable income for medical insurance premiums paid.Premiums paid in cash will not qualify for tax benefit. Note: You cannot claim premiums paid for your in-laws or siblings (brothers and sisters). View more",insurance
Will a policyholder's premium increase in the next year if he makes a claim in the current year,"No, the premium will not increase as premiums are guaranteed or fixed for a period of three years from the date of inception of the policy.",insurance
Where can the policyholder get the list of Network Hospitals,"The list of Network Hospitals is enclosed along with the Policy Document. The Policyholder can also visit the HDFC Life website, www.hdfclife.com, for the most updated list.",insurance
Can I insure my children in the Family Floater Plan,"Yes, you can insure your children from the age of 91 days.",insurance
What is the difference between fixed benefit health insurance plans and reimbursement health insurance plans,Fixed benefit plans cover the risk associated with a rare critical illness and provide predetermined sum insured upon diagnosis of few covered conditions. Payment under fixed benefit plans is usually made upon diagnosis and is not linked to the medical expense that the life insured may incur for treatment of such condition. Such plans help one to compensate for loss of income that arises due to long period of treatment and recuperation that may be required. Such policies pay the benefits only once and then the cover ceases. Reimbursement plans provide for reimbursement of actual medical expenses incurred in a hospital. These medical expenses could range from low amounts incurred in treatment of common ailments like malaria or dengue to significant expenses incurred in treatment of critical illnesses. Such policies do not cease on payment of claim once and continue to pay the claims every year subject to continuous renewals. View more,insurance
What are the services offered by TPA,The services offered by TPA are given below: 24x7 assistance to policyholders through the toll free number Assistance for authorizing and processing cashless facilities Claim processing and reimbursement of claims,insurance
What is Health Insurance,Health insurance is a type of insurance coverage that covers the cost of an insured individual's medical and surgical expenses.,insurance
What is the co pay that will need to be borne by the Life Insured in case of hospitalization in non network hospitals,The Life Insured has to bear a co-pay of 20% of the total hospital bill if they get hospitalized in any non-network hospital.,insurance
What is the maximum age limit for buying this Plan,The maximum age allowed at entry is 70 years of age.,insurance
What is the Maturity Benefit under the plan,Fund Value on the prevailing on the date of Maturity will be paid to the policyholder.,insurance
What is the min-max age at entry/maturity,Minimum Maximum Policy Term (years) 10 10 Age at Entry Age (years) 14 55 Age at Maturity (years) NA 65 Premium Paying term 5 years,insurance
What is the premium frequency available under policy,Only annual mode is allowed under the plan.,insurance
Can the plan be offered under limited underwriting,"The plan can be applied for by filing in the Short Medical Questionnaire (SMQ), which may not require you to go for medicals subject to prevailing underwriting conditions.",insurance
What is the exclusion in the plan,"In case of death due to suicide within 12 months from the date of inception of the policy or from the date of the revival of the policy, the nominee or beneficiary of the policyholder shall be entitled to the fund value, as available on the date of death. Any charges recovered subsequent to the date of death shall be paid back to the nominee or beneficiary along with the death benefit.",insurance
Do I have the option to avail a loan under the policy,"No, the policy does not provide any loan facility.",insurance
Can I withdraw before maturity,"You can make lump sum partial withdrawals from your funds after 5 years of your policy, subject to terms & conditions. Please refer to product brochure for details.",insurance
What is the Surrender Benefit,"If you surrender before completion of the 5 years from commencement of the policy, your fund value, less discontinued charges, will be moved to the 'Discontinued Policy Fund'. The amount allocated to the 'Discontinued Policy Fund', with accrued interest, will be paid out on the completion of the lock-in period. Discontinuance charge will be deducted. If you surrender after completion of the 5 years from commencement of the policy, your fund value will be paid out immediately. Upon payment of this benefit, the policy terminates and no further benefits are payable. Please refer to product brochure for details",insurance
What happens if Premiums are not paid,"This plan has a grace period of 30 days. You are expected to pay your annual premium through-out the policy term. Discontinuance before completion of 5 years from commencement of the policy: If you have not paid your premium by the expiry of the grace period, then you will have the following options: To revive the policy within a period of 2 years from the date of discontinuance, or To completely withdraw from the policy without any risk cover Your policy will be discontinued if: You do not exercise any of the above mentioned options; or You choose to completely withdraw from the policy without any risk cover Until the discontinuance of the policy, the risk cover will remain in-force and policy charges will continue to be deducted. Once the policy is discontinued, the risk cover will cease and the fund value (as on date of discontinuance) less the applicable Discontinuance Charge (Please see the Charges section for details of the Discontinuance Charges) will be moved to the 'Discontinued Policy Fund'. The minimum guaranteed interest rate applicable to the 'Discontinued Policy Fund' shall be 4% p.a. Such rate may be changed in the future if the IRDA revises the minimum rate for discontinued policies. The Discontinued Policy Fund (SFIN: ULIF05110/03/11DiscontdPF101) shall be a unit fund which will invest 100% of assets in Government Securities and/or Money Market Instruments. Any excess income earned in the discontinued fund over and above the minimum guaranteed interest rate shall also be apportioned to the 'Discontinued Policy Fund'. A Fund Management Charge of 0.50% p.a. will be levied for amounts in the 'Discontinued Policy Fund' If a discontinued policy is not revived, the proceeds will be paid out upon the completion of the lock-in period of five years. In the instances where the revival period is not completed at the end of the lock-in period, the policyholder can opt to receive the proceeds either upon the completion of the lock-in period or upon the completion of revival period. If, in such cases, the policyholder does not exercise any option, then the proceeds will be paid upon the completion of the lock-in period. After the payment of the discontinuance benefit, the policy shall terminate and no further benefits shall be payable under the policy. View more",insurance
What is the Death-Benefit under the plan,"On death of the life assured, provided all due premiums are paid, Before the attainment of 60 years of age, the nominee will receive the higher of the following Sum assured (less all withdrawals made during the two year period immediately preceding the date of death) The total fund value On or after the attainment of age 60 years, the nominee will receive the higher of the following Sum assured (less all withdrawals made after attainment of age 58) The total fund value Minimum Death Benefit would be at least 105% of the annual premiums paid The policy will terminate thereafter and no more benefit will be payable. View more",insurance
What is the exclusion in the plan,"In case of death due to suicide, within 12 months; From the date of inception of the policy, the nominee of the policyholder shall be entitled to 80% of the premiums paid, provided the policy is in-force. From the date of revival of the policy, the nominee of the policyholder shall be entitled to an amount which is higher of 80% of the premiums paid till the date of death or the surrender value as available on the date of death.",insurance
When does the plan acquire Guaranteed Surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of 8 years and 3 full years’ premium have been paid for premium payment term of 10 and 12 years.,insurance
Do I have option to avail loan under the policy,The policyholder can avail Loan under the policy provided the policy has acquired a surrender value and subject to terms and conditions as the Company may specify from time to time.,insurance
Is there any option available for monthly payout,"Yes the plan provides the option to the policyholder to receive the future payouts monthly instead of yearly. In such cases, the monthly payout shall be 8% of the annual payout.",insurance
What is the Guaranteed Base Income under the plan,Guaranteed Base Income is expressed as percentage of the Sum Assured on Maturity. This guaranteed amount is known to you at the inception and payable at the end of each year during the payout period as per your chosen plan option. The percentages are as follows: Option Guaranteed Base Income as % of Sum Assured on Maturity Annual GBI Total GBI for entire premium payment term 1 12.5% 100% 2 10.0% 100% 3 12.0% 120% 4 10.0% 120% 5 10.0% 120% 6 8.0% 120%,insurance
What is the Death Benefit under the plan,"On death of the life assured during the term of the policy, provided all due premiums are paid; the nominee will receive the higher of the following: Sum Assured on Death + Accrued Reversionary Bonuses + Interim Bonus (if any) + Terminal Bonus (if any) 105% of premiums# paid till dateWhere, the Sum Assured on Death shall be the higher of: Sum Assured on Maturity 10 times Annualised Premium# for entry age up to 50 years and 7 times Annualised Premium# for entry age greater than 50 years #excludes any underwriting extra premiums, modal loadings and any taxes paid On death of the life assured during the payout period, the Death Benefit payable shall not be reduced by the survival benefits already paid. On payment of the Death Benefit during the policy term, the policy will terminate and no future payouts will be payable.",insurance
What is the premium frequency available under policy,"The premiums can be paid Annually, Half-Yearly, Quarterly and Monthly",insurance
What is the premium frequency available under policy,"The premiums can be paid annually, half-yearly, quarterly and annually.",insurance
What is the minimum/maximum Policy term/Premium payment term,"Minimum Maximum Premium Paying Term (years) 5, 8 and 10 Policy Term (years) 15 25 Sum Assured (Rs) Will depend upon premium, premium payment term and policy term",insurance
What is the minimum/maximum age at entry/maturity,Eligibility Criteria Minimum Maximum Age at Entry Age (years) 30 days * 45 Age at Maturity (years) 18 70 All ages mentioned above are age last birthday. * The minimum age at maturity should be 18 years.,insurance
What is the exclusion in the plan,"In case of death due to suicide, within 12 months; From the date of inception of the policy, the nominee of the policyholder shall be entitled to 80% of the premiums paid, provided the policy is in-force From the date of revival of the policy, the nominee of the policyholder shall be entitled to the amount which is higher of 80% of the premiums paid till date of death or the surrender value as available on the date of death.",insurance
What is the Maturity Benefit under the plan,"The plan offers guaranteed additions (GA) as a percentage of sum assured accrued for each completed policy year payable at maturity. Policy term (Yrs) GA as % of Sum Assured 15 to 19 years 8% 20 to 25 years 9% On your survival, at end of the policy term, you will receive a lump sum benefit as the aggregate of: Sum Assured Accrued Guaranteed Additions Your Aggregate Maturity benefit as percentage of Sum Assured as per term chosen is as follows: Policy term 15 16 17 18 19 20 21 22 23 24 25 Maturity benefit as percentage of Sum Assured 220% 228% 236% 244% 252% 280% 289% 298% 307% 316% 325%",insurance
When does the plan acquire Guaranteed Surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided first 2 years’ premiums have been paid for premium paying term of 5 and 8 years first 3 years’ premiums have been paid for premium paying term of 10 years,insurance
Can the plan be offered under limited underwriting,"The plan can be applied by filing in the Short Medical Questionnaire (SMQ), which may not require you to go for medicals.",insurance
What is the Death-Benefit under the plan,"On death during the policy term, provided the policy is in force, the nominee will receive the higher of the following: Sum Assured 10 times the Annualized Premium* 105% of the premiums* paid till date In addition to the above, accrued guaranteed additions would be payable on death. *The Premium amount excludes any underwriting extra premiums and any taxes paid. On payment of the Death Benefit, the policy will terminate and no more benefits will be payable. View more",insurance
When does the plan acquire Guaranteed Surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of 7 years and 3 full years’ premium have been paid for premium payment term of 10 years or more.,insurance
What is the premium frequency available under policy,"The premiums can be paid annually, half-yearly, quarterly and annually",insurance
How do I choose from options available under this plan,"At policy inception, based on your child’s future needs you can choose one of the three available Maturity Benefit Options. These options are: a) Aspiration: if you choose this option, you will receive a lump sum payout the end of your policy term. You can use this money to fund your child’s marriage or any other large expense.b) Academia: if you choose this option, you will receive guaranteed payouts during the last 5 policy years. The first guaranteed payout shall be higher than subsequent guaranteed payouts. You can use these payouts to fund your child’s college education in future.c) Career:if you choose this option, you will receive guaranteed payouts during the last 5 policy years. The last guaranteed payout shall be higher than previous guaranteed payouts. You can use these payouts to fund your child’s schooling or college expenses in future. Also at policy inception, based on the level of protection you need for your child’s financial planning, you can choose one of the two Death benefit options. These options are: a) Classic: in case of unfortunate demise of life assured during the policy term, the nominee receives Basic Death benefit + accrued Guaranteed Additions + accrued Bonuses, if any. After the payment of death benefit, the policy terminates.b) Classic Wavier:in case of unfortunate demise of life assured during the policy term, the nominee receives Basic Death benefit. All future outstanding premiums under the policy will be waived. The contract shall continue and the benefits as per Survival benefit and Maturity Benefit shall be available. Where Basic Death benefit is defined as higher of: Sum Assured on Death 105% of Premiums paid The Sum Assured on Death shall be the higher of: Sum Assured on Maturity 10 times Annualised Premium for entry age up to 50 years and 7 times Annualised Premium for entry age greater than 50 years",insurance
Do I have option to avail loan under the policy,The policyholder can avail Loan under the policy provided the policy has acquired a surrender value and subject to terms and conditions as the Company may specify from time to time.,insurance
Can I take monthly payouts instead of annual payouts,"Yes.The policyholder shall have an option to receive the survival benefits (other than the final payout, payable on maturity) in monthly installments. If so opted for, the monthly survival benefit shall be: 8.5% of the annual survival payout, payable over a period of 12 months, with the first installment being paid on the policy anniversary on which annual survival payout falls due",insurance
What is the exclusion in the plan,"In case of death due to suicide, within 12 months; From the date of inception of the policy, the nominee of the policyholder shall be entitled to 80% of the premiums paid, provided the policy is in-force. From the date of revival of the policy, the nominee of the policyholder shall be entitled to an amount which is higher of 80% of the premiums paid till the date of death or the surrender value as available on the date of death.",insurance
Will the basic death benefit amount be reduced by the survival benefits already paid,"No. On death of the life assured after the commencement of survival benefits under Academia and Career maturity benefit options, the Death Benefit payable shall not be reduced by the survival benefits already paid.",insurance
What payouts will I get under different plan options,"The table below specifies the series of money back/endowment payouts, payable at the end of each year, for a premium paying or a fully paid-up policy. Maturity Benefit Option Year of Payout Aspiration Academia Career 5th year before Maturity - 30% of SA 15 % of SA 4th year before Maturity - 15 % of SA 15 % of SA 3rd year before Maturity - 15 % of SA 15 % of SA 2nd year before Maturity - 15 % of SA 15 % of SA 1st year before Maturity - 15 % of SA 15 % of SA At Maturity 100% of SA + GA + accrued bonuses 15 % of SA + GA + accrued bonuses 40 % of SA + GA + accrued bonuses Total 100% of SA + GA + accrued bonuses 105% of SA + GA + accrued bonuses 115% of SA + GA + accrued bonuses SA: Sum Assured on maturity. GA: Guaranteed Additions",insurance
Can I change my maturity/death benefit options during the policy term,No. You choose your maturity benefit option and death benefit option at policy inception and they cannot be changed during the policy term.,insurance
What are Guaranteed Additions under this plan,"The plan provides you with additional boosters in the form of guaranteed additions where the premium payment term is 10 years or more, provided the policy is in force. The Guaranteed Additions are payable at maturity. These guaranteed additions are declared over and above bonuses. The Guaranteed Additions shall accrue at the end of every policy year as specified below: Policy Term Guaranteed Additions (% of Sum Assured on Maturity) <= 19 years 3 % p.a. for first 5 policy years, nil thereafter >=20 years 5 % p.a. for first 5 policy years, nil thereafter",insurance
What is the Death-Benefit under the plan,"The table below captures the available death benefits during the policy term under various options. Death Benefit Options Death Benefits Classic Basic Death benefit + accrued Guaranteed Additions + accrued Bonuses, if any Classic Waiver Basic Death benefit + Premium Waiver The table below describes each of the above benefits in detail. Basic Death Benefit The basic death benefit shall be the higher of: Sum Assured on Death 105% of Premiums paid The Sum Assured on Death shall be the higher of: Sum Assured on Maturity 10 times Annualised Premium for entry age up to 50 years and 7 times Annualised Premium for entry age greater than 50 years Premium Waiver All future outstanding premiums under the policy will be waived. The contract shall continue and the benefits as per Survival benefit and Maturity Benefit shall be available. For the purpose of computation of Death Benefit, the premiums shall exclude any underwriting extra premiums, any loadings for modal premiums and any taxes paid such as service tax and education cess. For more details on risk factors, terms and conditions, please read the Product Brochure carefully before taking a decision.",insurance
What is the Policy term/Premium payment term,Policy Term 10 Year Premium Payment Term Single,insurance
Can the plan be offered under limited underwriting,"The plan can be applied by filing in the Short Medical Questionnaire (SMQ), which may not require you to go for medicals.",insurance
